"Games_Played","Games_Started","Goals","Assists","SHOTS","SHOTS_ON_TARGET","Game_Winning_Goals","HmG","RdG","G_90min","Games_Winning_Assists","OFF","Shots_on_Goals_Percent","Target"
0.727272727272727,0.558823529411765,0.117647058823529,0.192307692307692,0.1,0.157894736842105,0.0909090909090909,0.181818181818182,0,0.00466666666666667,0.375,0.0853658536585366,0.6316,1
0.545454545454545,0,0,0,0,0.0131578947368421,0,0,0,0,0,0.0121951219512195,1,0
0,0.0294117647058824,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0
0.303030303030303,0.264705882352941,0,0,0.00555555555555556,0,0,0,0,0,0,0.0121951219512195,0,0
0.272727272727273,0.264705882352941,0,0.0384615384615385,0.0333333333333333,0.0131578947368421,0,0,0,0,0,0,0.1429,0
0.848484848484849,0.705882352941177,0.0588235294117647,0.307692307692308,0.183333333333333,0.263157894736842,0,0.0909090909090909,0,0.00177777777777778,0.375,0.0487804878048781,0.5882,1
0.424242424242424,0.176470588235294,0.0294117647058824,0,0.0111111111111111,0.0263157894736842,0.0909090909090909,0.0454545454545455,0,0.00266666666666667,0,0.0365853658536585,0.6667,0
0.212121212121212,0.0588235294117647,0.0294117647058824,0,0.0166666666666667,0.0394736842105263,0,0,0.0625,0.00688888888888889,0,0.024390243902439,0.75,0
0.727272727272727,0.676470588235294,0,0.0384615384615385,0.0111111111111111,0,0,0,0,0,0.125,0,0,1
0.181818181818182,0.117647058823529,0,0,0,0.0131578947368421,0,0,0,0,0,0.0121951219512195,1,0
0.424242424242424,0.382352941176471,0,0.269230769230769,0.0444444444444444,0.0526315789473684,0,0,0,0,0.125,0,0.4444,1
